 Percent |	Source code & Disassembly of go for cpu-clock (19 samples, percent: local period)
-------------------------------------------------------------------------------------------------
         :
         :
         :
         : 3      Disassembly of section .text:
         :
         : 5      0000000000536418 <crypto/internal/fips140/sha256.block.abi0>:
         : 6      crypto/internal/fips140/sha256.block.abi0():
    0.00 :   536c3c: xor     t1,t1,s0
    0.00 :   536c40: and     t0,t0,a1
    0.00 :   536c44: add     a4,a4,t1
    0.00 :   536c46: xor     t0,t0,a3
    0.00 :   536c4a: add     t0,t0,a4
    0.00 :   536c4c: srliw   t6,a5,0x2
    0.00 :   536c50: slliw   t1,a5,0x1e
    0.00 :   536c54: or      t1,t6,t1
    0.00 :   536c58: srliw   t6,a5,0xd
    0.00 :   536c5c: slliw   t2,a5,0x13
    0.00 :   536c60: or      t2,t6,t2
    0.00 :   536c64: srliw   t6,a5,0x16
    0.00 :   536c68: slliw   s0,a5,0xa
    0.00 :   536c6c: or      s0,t6,s0
    0.00 :   536c70: xor     t1,t1,t2
    0.00 :   536c74: xor     s1,a7,a6
    0.00 :   536c78: and     t2,a7,a6
    0.00 :   536c7c: and     s1,s1,a5
    0.00 :   536c7e: xor     t1,t1,s0
    0.00 :   536c82: xor     s1,s1,t2
    0.00 :   536c86: add     t1,t1,s1
    0.00 :   536c88: add     a0,a0,t0
    0.00 :   536c8a: add     a4,t0,t1
    0.00 :   536c8e: lbu     t0,48(t4)
    0.00 :   536c92: lbu     t1,49(t4)
    0.00 :   536c96: lbu     t2,50(t4)
    0.00 :   536c9a: lbu     s0,51(t4)
    0.00 :   536c9e: slli    t0,t0,0x18
    0.00 :   536ca0: slli    t1,t1,0x10
    0.00 :   536ca2: or      t0,t1,t0
    0.00 :   536ca6: slli    t2,t2,0x8
    0.00 :   536ca8: or      t0,t2,t0
    0.00 :   536cac: or      t0,s0,t0
    0.00 :   536cb0: sw      t0,48(s3)
    0.00 :   536cb4: lwu     s0,48(s2)
    0.00 :   536cb8: add     a3,a3,t0
    0.00 :   536cba: srliw   t6,a0,0x6
    0.00 :   536cbe: slliw   t1,a0,0x1a
    0.00 :   536cc2: or      t1,t6,t1
    0.00 :   536cc6: add     a3,a3,s0
    0.00 :   536cc8: srliw   t6,a0,0xb
    0.00 :   536ccc: slliw   t2,a0,0x15
    0.00 :   536cd0: or      t2,t6,t2
    0.00 :   536cd4: srliw   t6,a0,0x19
    0.00 :   536cd8: slliw   s0,a0,0x7
    0.00 :   536cdc: or      s0,t6,s0
    0.00 :   536ce0: xor     t1,t1,t2
    0.00 :   536ce4: xor     t0,a2,a1
    0.00 :   536ce8: xor     t1,t1,s0
    0.00 :   536cec: and     t0,t0,a0
    0.00 :   536cf0: add     a3,a3,t1
    0.00 :   536cf2: xor     t0,t0,a2
    0.00 :   536cf6: add     t0,t0,a3
    0.00 :   536cf8: srliw   t6,a4,0x2
    0.00 :   536cfc: slliw   t1,a4,0x1e
    0.00 :   536d00: or      t1,t6,t1
    0.00 :   536d04: srliw   t6,a4,0xd
    0.00 :   536d08: slliw   t2,a4,0x13
    0.00 :   536d0c: or      t2,t6,t2
    0.00 :   536d10: srliw   t6,a4,0x16
    0.00 :   536d14: slliw   s0,a4,0xa
    0.00 :   536d18: or      s0,t6,s0
    0.00 :   536d1c: xor     t1,t1,t2
    0.00 :   536d20: xor     s1,a6,a5
    0.00 :   536d24: and     t2,a6,a5
    0.00 :   536d28: and     s1,s1,a4
    0.00 :   536d2a: xor     t1,t1,s0
    0.00 :   536d2e: xor     s1,s1,t2
    0.00 :   536d32: add     t1,t1,s1
    0.00 :   536d34: add     a7,a7,t0
    0.00 :   536d36: add     a3,t0,t1
    0.00 :   536d3a: lbu     t0,52(t4)
    0.00 :   536d3e: lbu     t1,53(t4)
    0.00 :   536d42: lbu     t2,54(t4)
    0.00 :   536d46: lbu     s0,55(t4)
    0.00 :   536d4a: slli    t0,t0,0x18
    0.00 :   536d4c: slli    t1,t1,0x10
    0.00 :   536d4e: or      t0,t1,t0
    0.00 :   536d52: slli    t2,t2,0x8
    0.00 :   536d54: or      t0,t2,t0
    0.00 :   536d58: or      t0,s0,t0
    0.00 :   536d5c: sw      t0,52(s3)
    0.00 :   536d60: lwu     s0,52(s2)
    0.00 :   536d64: add     a2,a2,t0
    0.00 :   536d66: srliw   t6,a7,0x6
    0.00 :   536d6a: slliw   t1,a7,0x1a
    0.00 :   536d6e: or      t1,t6,t1
    0.00 :   536d72: add     a2,a2,s0
    0.00 :   536d74: srliw   t6,a7,0xb
    0.00 :   536d78: slliw   t2,a7,0x15
    0.00 :   536d7c: or      t2,t6,t2
    0.00 :   536d80: srliw   t6,a7,0x19
    0.00 :   536d84: slliw   s0,a7,0x7
    0.00 :   536d88: or      s0,t6,s0
    0.00 :   536d8c: xor     t1,t1,t2
    0.00 :   536d90: xor     t0,a1,a0
    0.00 :   536d94: xor     t1,t1,s0
    5.26 :   536d98: and     t0,t0,a7
    0.00 :   536d9c: add     a2,a2,t1
    0.00 :   536d9e: xor     t0,t0,a1
    0.00 :   536da2: add     t0,t0,a2
    0.00 :   536da4: srliw   t6,a3,0x2
    0.00 :   536da8: slliw   t1,a3,0x1e
    0.00 :   536dac: or      t1,t6,t1
    0.00 :   536db0: srliw   t6,a3,0xd
    0.00 :   536db4: slliw   t2,a3,0x13
    0.00 :   536db8: or      t2,t6,t2
    0.00 :   536dbc: srliw   t6,a3,0x16
    0.00 :   536dc0: slliw   s0,a3,0xa
    0.00 :   536dc4: or      s0,t6,s0
    0.00 :   536dc8: xor     t1,t1,t2
    0.00 :   536dcc: xor     s1,a5,a4
    0.00 :   536dd0: and     t2,a5,a4
    0.00 :   536dd4: and     s1,s1,a3
    0.00 :   536dd6: xor     t1,t1,s0
    0.00 :   536dda: xor     s1,s1,t2
    0.00 :   536dde: add     t1,t1,s1
    0.00 :   536de0: add     a6,a6,t0
    0.00 :   536de2: add     a2,t0,t1
    0.00 :   536de6: lbu     t0,56(t4)
    0.00 :   536dea: lbu     t1,57(t4)
    0.00 :   536dee: lbu     t2,58(t4)
    0.00 :   536df2: lbu     s0,59(t4)
    0.00 :   536df6: slli    t0,t0,0x18
    0.00 :   536df8: slli    t1,t1,0x10
    0.00 :   536dfa: or      t0,t1,t0
    0.00 :   536dfe: slli    t2,t2,0x8
    0.00 :   536e00: or      t0,t2,t0
    0.00 :   536e04: or      t0,s0,t0
    0.00 :   536e08: sw      t0,56(s3)
    0.00 :   536e0c: lwu     s0,56(s2)
    0.00 :   536e10: add     a1,a1,t0
    0.00 :   536e12: srliw   t6,a6,0x6
    0.00 :   536e16: slliw   t1,a6,0x1a
    0.00 :   536e1a: or      t1,t6,t1
    0.00 :   536e1e: add     a1,a1,s0
    0.00 :   536e20: srliw   t6,a6,0xb
    0.00 :   536e24: slliw   t2,a6,0x15
    0.00 :   536e28: or      t2,t6,t2
    0.00 :   536e2c: srliw   t6,a6,0x19
    0.00 :   536e30: slliw   s0,a6,0x7
    0.00 :   536e34: or      s0,t6,s0
    0.00 :   536e38: xor     t1,t1,t2
    0.00 :   536e3c: xor     t0,a0,a7
    0.00 :   536e40: xor     t1,t1,s0
    0.00 :   536e44: and     t0,t0,a6
    0.00 :   536e48: add     a1,a1,t1
    0.00 :   536e4a: xor     t0,t0,a0
    0.00 :   536e4e: add     t0,t0,a1
    0.00 :   536e50: srliw   t6,a2,0x2
    0.00 :   536e54: slliw   t1,a2,0x1e
    0.00 :   536e58: or      t1,t6,t1
    0.00 :   536e5c: srliw   t6,a2,0xd
    0.00 :   536e60: slliw   t2,a2,0x13
    0.00 :   536e64: or      t2,t6,t2
    0.00 :   536e68: srliw   t6,a2,0x16
    0.00 :   536e6c: slliw   s0,a2,0xa
    0.00 :   536e70: or      s0,t6,s0
    0.00 :   536e74: xor     t1,t1,t2
    0.00 :   536e78: xor     s1,a4,a3
    0.00 :   536e7c: and     t2,a4,a3
    0.00 :   536e80: and     s1,s1,a2
    0.00 :   536e82: xor     t1,t1,s0
    0.00 :   536e86: xor     s1,s1,t2
    0.00 :   536e8a: add     t1,t1,s1
    0.00 :   536e8c: add     a5,a5,t0
    0.00 :   536e8e: add     a1,t0,t1
    0.00 :   536e92: lbu     t0,60(t4)
    0.00 :   536e96: lbu     t1,61(t4)
    0.00 :   536e9a: lbu     t2,62(t4)
    0.00 :   536e9e: lbu     s0,63(t4)
    0.00 :   536ea2: slli    t0,t0,0x18
    0.00 :   536ea4: slli    t1,t1,0x10
    0.00 :   536ea6: or      t0,t1,t0
    0.00 :   536eaa: slli    t2,t2,0x8
    0.00 :   536eac: or      t0,t2,t0
    0.00 :   536eb0: or      t0,s0,t0
    5.26 :   536eb4: sw      t0,60(s3)
    0.00 :   536eb8: lwu     s0,60(s2)
    0.00 :   536ebc: add     a0,a0,t0
    0.00 :   536ebe: srliw   t6,a5,0x6
    0.00 :   536ec2: slliw   t1,a5,0x1a
    0.00 :   536ec6: or      t1,t6,t1
    0.00 :   536eca: add     a0,a0,s0
    0.00 :   536ecc: srliw   t6,a5,0xb
    0.00 :   536ed0: slliw   t2,a5,0x15
    0.00 :   536ed4: or      t2,t6,t2
    0.00 :   536ed8: srliw   t6,a5,0x19
    0.00 :   536edc: slliw   s0,a5,0x7
    0.00 :   536ee0: or      s0,t6,s0
    0.00 :   536ee4: xor     t1,t1,t2
    0.00 :   536ee8: xor     t0,a7,a6
    0.00 :   536eec: xor     t1,t1,s0
    0.00 :   536ef0: and     t0,t0,a5
    0.00 :   536ef4: add     a0,a0,t1
    0.00 :   536ef6: xor     t0,t0,a7
    0.00 :   536efa: add     t0,t0,a0
    0.00 :   536efc: srliw   t6,a1,0x2
    0.00 :   536f00: slliw   t1,a1,0x1e
    0.00 :   536f04: or      t1,t6,t1
    0.00 :   536f08: srliw   t6,a1,0xd
    0.00 :   536f0c: slliw   t2,a1,0x13
    0.00 :   536f10: or      t2,t6,t2
    0.00 :   536f14: srliw   t6,a1,0x16
    0.00 :   536f18: slliw   s0,a1,0xa
    0.00 :   536f1c: or      s0,t6,s0
    0.00 :   536f20: xor     t1,t1,t2
    0.00 :   536f24: xor     s1,a3,a2
    0.00 :   536f28: and     t2,a3,a2
    0.00 :   536f2c: and     s1,s1,a1
    0.00 :   536f2e: xor     t1,t1,s0
    0.00 :   536f32: xor     s1,s1,t2
    0.00 :   536f36: add     t1,t1,s1
    0.00 :   536f38: add     a4,a4,t0
    0.00 :   536f3a: add     a0,t0,t1
    0.00 :   536f3e: lwu     t0,56(s3)
    0.00 :   536f42: lwu     t1,4(s3)
    0.00 :   536f46: lwu     s1,36(s3)
    0.00 :   536f4a: lwu     s5,0(s3)
    0.00 :   536f4e: srliw   t6,t0,0x11
    0.00 :   536f52: slliw   t2,t0,0xf
    0.00 :   536f56: or      t2,t6,t2
    0.00 :   536f5a: srliw   t6,t0,0x13
    0.00 :   536f5e: slliw   s0,t0,0xd
    0.00 :   536f62: or      s0,t6,s0
    0.00 :   536f66: srli    t0,t0,0xa
    0.00 :   536f6a: xor     t0,t0,t2
    0.00 :   536f6e: xor     t0,t0,s0
    0.00 :   536f72: add     t0,t0,s1
    0.00 :   536f74: srliw   t6,t1,0x7
    0.00 :   536f78: slliw   t2,t1,0x19
    0.00 :   536f7c: or      t2,t6,t2
    0.00 :   536f80: srliw   t6,t1,0x12
    0.00 :   536f84: slliw   s0,t1,0xe
    0.00 :   536f88: or      s0,t6,s0
    0.00 :   536f8c: srli    t1,t1,0x3
    0.00 :   536f90: xor     t1,t1,t2
    0.00 :   536f94: xor     t1,t1,s0
    0.00 :   536f98: add     t0,t0,t1
    0.00 :   536f9a: add     t0,t0,s5
    0.00 :   536f9c: sw      t0,0(s3)
    0.00 :   536fa0: lwu     s0,64(s2)
    0.00 :   536fa4: add     a7,a7,t0
    0.00 :   536fa6: srliw   t6,a4,0x6
    0.00 :   536faa: slliw   t1,a4,0x1a
    0.00 :   536fae: or      t1,t6,t1
    0.00 :   536fb2: add     a7,a7,s0
    0.00 :   536fb4: srliw   t6,a4,0xb
    0.00 :   536fb8: slliw   t2,a4,0x15
    0.00 :   536fbc: or      t2,t6,t2
    0.00 :   536fc0: srliw   t6,a4,0x19
    0.00 :   536fc4: slliw   s0,a4,0x7
    0.00 :   536fc8: or      s0,t6,s0
    0.00 :   536fcc: xor     t1,t1,t2
    0.00 :   536fd0: xor     t0,a6,a5
    0.00 :   536fd4: xor     t1,t1,s0
    0.00 :   536fd8: and     t0,t0,a4
    0.00 :   536fdc: add     a7,a7,t1
    0.00 :   536fde: xor     t0,t0,a6
    0.00 :   536fe2: add     t0,t0,a7
    0.00 :   536fe4: srliw   t6,a0,0x2
    0.00 :   536fe8: slliw   t1,a0,0x1e
    0.00 :   536fec: or      t1,t6,t1
    0.00 :   536ff0: srliw   t6,a0,0xd
    0.00 :   536ff4: slliw   t2,a0,0x13
    0.00 :   536ff8: or      t2,t6,t2
    0.00 :   536ffc: srliw   t6,a0,0x16
    0.00 :   537000: slliw   s0,a0,0xa
    0.00 :   537004: or      s0,t6,s0
    0.00 :   537008: xor     t1,t1,t2
    0.00 :   53700c: xor     s1,a2,a1
    0.00 :   537010: and     t2,a2,a1
    0.00 :   537014: and     s1,s1,a0
    0.00 :   537016: xor     t1,t1,s0
    0.00 :   53701a: xor     s1,s1,t2
    0.00 :   53701e: add     t1,t1,s1
    0.00 :   537020: add     a3,a3,t0
    0.00 :   537022: add     a7,t0,t1
    0.00 :   537026: lwu     t0,60(s3)
    0.00 :   53702a: lwu     t1,8(s3)
    0.00 :   53702e: lwu     s1,40(s3)
    0.00 :   537032: lwu     s5,4(s3)
    0.00 :   537036: srliw   t6,t0,0x11
    0.00 :   53703a: slliw   t2,t0,0xf
    0.00 :   53703e: or      t2,t6,t2
    0.00 :   537042: srliw   t6,t0,0x13
    0.00 :   537046: slliw   s0,t0,0xd
    0.00 :   53704a: or      s0,t6,s0
    0.00 :   53704e: srli    t0,t0,0xa
    0.00 :   537052: xor     t0,t0,t2
    0.00 :   537056: xor     t0,t0,s0
    0.00 :   53705a: add     t0,t0,s1
    0.00 :   53705c: srliw   t6,t1,0x7
    0.00 :   537060: slliw   t2,t1,0x19
    0.00 :   537064: or      t2,t6,t2
    0.00 :   537068: srliw   t6,t1,0x12
    0.00 :   53706c: slliw   s0,t1,0xe
    0.00 :   537070: or      s0,t6,s0
    0.00 :   537074: srli    t1,t1,0x3
    0.00 :   537078: xor     t1,t1,t2
    0.00 :   53707c: xor     t1,t1,s0
    0.00 :   537080: add     t0,t0,t1
    0.00 :   537082: add     t0,t0,s5
    0.00 :   537084: sw      t0,4(s3)
    0.00 :   537088: lwu     s0,68(s2)
    0.00 :   53708c: add     a6,a6,t0
    0.00 :   53708e: srliw   t6,a3,0x6
    0.00 :   537092: slliw   t1,a3,0x1a
    0.00 :   537096: or      t1,t6,t1
    0.00 :   53709a: add     a6,a6,s0
    0.00 :   53709c: srliw   t6,a3,0xb
    0.00 :   5370a0: slliw   t2,a3,0x15
    0.00 :   5370a4: or      t2,t6,t2
    0.00 :   5370a8: srliw   t6,a3,0x19
    0.00 :   5370ac: slliw   s0,a3,0x7
    0.00 :   5370b0: or      s0,t6,s0
    0.00 :   5370b4: xor     t1,t1,t2
    0.00 :   5370b8: xor     t0,a5,a4
    0.00 :   5370bc: xor     t1,t1,s0
    0.00 :   5370c0: and     t0,t0,a3
    0.00 :   5370c4: add     a6,a6,t1
    0.00 :   5370c6: xor     t0,t0,a5
    0.00 :   5370ca: add     t0,t0,a6
    0.00 :   5370cc: srliw   t6,a7,0x2
    0.00 :   5370d0: slliw   t1,a7,0x1e
    0.00 :   5370d4: or      t1,t6,t1
    0.00 :   5370d8: srliw   t6,a7,0xd
    0.00 :   5370dc: slliw   t2,a7,0x13
    0.00 :   5370e0: or      t2,t6,t2
    0.00 :   5370e4: srliw   t6,a7,0x16
    0.00 :   5370e8: slliw   s0,a7,0xa
    0.00 :   5370ec: or      s0,t6,s0
    0.00 :   5370f0: xor     t1,t1,t2
    0.00 :   5370f4: xor     s1,a1,a0
    0.00 :   5370f8: and     t2,a1,a0
    0.00 :   5370fc: and     s1,s1,a7
    0.00 :   537100: xor     t1,t1,s0
    0.00 :   537104: xor     s1,s1,t2
    0.00 :   537108: add     t1,t1,s1
    5.26 :   53710a: add     a2,a2,t0
    0.00 :   53710c: add     a6,t0,t1
    0.00 :   537110: lwu     t0,0(s3)
    0.00 :   537114: lwu     t1,12(s3)
    0.00 :   537118: lwu     s1,44(s3)
    0.00 :   53711c: lwu     s5,8(s3)
    0.00 :   537120: srliw   t6,t0,0x11
    0.00 :   537124: slliw   t2,t0,0xf
    0.00 :   537128: or      t2,t6,t2
    0.00 :   53712c: srliw   t6,t0,0x13
    0.00 :   537130: slliw   s0,t0,0xd
    0.00 :   537134: or      s0,t6,s0
    0.00 :   537138: srli    t0,t0,0xa
    0.00 :   53713c: xor     t0,t0,t2
    0.00 :   537140: xor     t0,t0,s0
    0.00 :   537144: add     t0,t0,s1
    0.00 :   537146: srliw   t6,t1,0x7
    0.00 :   53714a: slliw   t2,t1,0x19
    0.00 :   53714e: or      t2,t6,t2
    0.00 :   537152: srliw   t6,t1,0x12
    0.00 :   537156: slliw   s0,t1,0xe
    0.00 :   53715a: or      s0,t6,s0
    0.00 :   53715e: srli    t1,t1,0x3
    0.00 :   537162: xor     t1,t1,t2
    0.00 :   537166: xor     t1,t1,s0
    0.00 :   53716a: add     t0,t0,t1
    0.00 :   53716c: add     t0,t0,s5
    0.00 :   53716e: sw      t0,8(s3)
    0.00 :   537172: lwu     s0,72(s2)
    0.00 :   537176: add     a5,a5,t0
    0.00 :   537178: srliw   t6,a2,0x6
    0.00 :   53717c: slliw   t1,a2,0x1a
    0.00 :   537180: or      t1,t6,t1
    0.00 :   537184: add     a5,a5,s0
    0.00 :   537186: srliw   t6,a2,0xb
    0.00 :   53718a: slliw   t2,a2,0x15
    0.00 :   53718e: or      t2,t6,t2
    0.00 :   537192: srliw   t6,a2,0x19
    0.00 :   537196: slliw   s0,a2,0x7
    0.00 :   53719a: or      s0,t6,s0
    0.00 :   53719e: xor     t1,t1,t2
    0.00 :   5371a2: xor     t0,a4,a3
    0.00 :   5371a6: xor     t1,t1,s0
    0.00 :   5371aa: and     t0,t0,a2
    0.00 :   5371ae: add     a5,a5,t1
    0.00 :   5371b0: xor     t0,t0,a4
    0.00 :   5371b4: add     t0,t0,a5
    0.00 :   5371b6: srliw   t6,a6,0x2
    0.00 :   5371ba: slliw   t1,a6,0x1e
    0.00 :   5371be: or      t1,t6,t1
    0.00 :   5371c2: srliw   t6,a6,0xd
    0.00 :   5371c6: slliw   t2,a6,0x13
    0.00 :   5371ca: or      t2,t6,t2
    0.00 :   5371ce: srliw   t6,a6,0x16
    0.00 :   5371d2: slliw   s0,a6,0xa
    0.00 :   5371d6: or      s0,t6,s0
    0.00 :   5371da: xor     t1,t1,t2
    0.00 :   5371de: xor     s1,a0,a7
    0.00 :   5371e2: and     t2,a0,a7
    0.00 :   5371e6: and     s1,s1,a6
    0.00 :   5371ea: xor     t1,t1,s0
    0.00 :   5371ee: xor     s1,s1,t2
    0.00 :   5371f2: add     t1,t1,s1
    0.00 :   5371f4: add     a1,a1,t0
    0.00 :   5371f6: add     a5,t0,t1
    0.00 :   5371fa: lwu     t0,4(s3)
    0.00 :   5371fe: lwu     t1,16(s3)
    0.00 :   537202: lwu     s1,48(s3)
    0.00 :   537206: lwu     s5,12(s3)
    0.00 :   53720a: srliw   t6,t0,0x11
    0.00 :   53720e: slliw   t2,t0,0xf
    0.00 :   537212: or      t2,t6,t2
    0.00 :   537216: srliw   t6,t0,0x13
    0.00 :   53721a: slliw   s0,t0,0xd
    0.00 :   53721e: or      s0,t6,s0
    0.00 :   537222: srli    t0,t0,0xa
    0.00 :   537226: xor     t0,t0,t2
    0.00 :   53722a: xor     t0,t0,s0
    0.00 :   53722e: add     t0,t0,s1
    0.00 :   537230: srliw   t6,t1,0x7
    0.00 :   537234: slliw   t2,t1,0x19
    0.00 :   537238: or      t2,t6,t2
    0.00 :   53723c: srliw   t6,t1,0x12
    0.00 :   537240: slliw   s0,t1,0xe
    0.00 :   537244: or      s0,t6,s0
    0.00 :   537248: srli    t1,t1,0x3
    0.00 :   53724c: xor     t1,t1,t2
    0.00 :   537250: xor     t1,t1,s0
    0.00 :   537254: add     t0,t0,t1
    0.00 :   537256: add     t0,t0,s5
    0.00 :   537258: sw      t0,12(s3)
    0.00 :   53725c: lwu     s0,76(s2)
    0.00 :   537260: add     a4,a4,t0
    0.00 :   537262: srliw   t6,a1,0x6
    0.00 :   537266: slliw   t1,a1,0x1a
    0.00 :   53726a: or      t1,t6,t1
    0.00 :   53726e: add     a4,a4,s0
    0.00 :   537270: srliw   t6,a1,0xb
    0.00 :   537274: slliw   t2,a1,0x15
    0.00 :   537278: or      t2,t6,t2
    0.00 :   53727c: srliw   t6,a1,0x19
    0.00 :   537280: slliw   s0,a1,0x7
    0.00 :   537284: or      s0,t6,s0
    0.00 :   537288: xor     t1,t1,t2
    0.00 :   53728c: xor     t0,a3,a2
    0.00 :   537290: xor     t1,t1,s0
    0.00 :   537294: and     t0,t0,a1
    0.00 :   537298: add     a4,a4,t1
    0.00 :   53729a: xor     t0,t0,a3
    0.00 :   53729e: add     t0,t0,a4
    0.00 :   5372a0: srliw   t6,a5,0x2
    0.00 :   5372a4: slliw   t1,a5,0x1e
    0.00 :   5372a8: or      t1,t6,t1
    0.00 :   5372ac: srliw   t6,a5,0xd
    0.00 :   5372b0: slliw   t2,a5,0x13
    0.00 :   5372b4: or      t2,t6,t2
    0.00 :   5372b8: srliw   t6,a5,0x16
    0.00 :   5372bc: slliw   s0,a5,0xa
    0.00 :   5372c0: or      s0,t6,s0
    0.00 :   5372c4: xor     t1,t1,t2
    0.00 :   5372c8: xor     s1,a7,a6
    0.00 :   5372cc: and     t2,a7,a6
    0.00 :   5372d0: and     s1,s1,a5
    0.00 :   5372d2: xor     t1,t1,s0
    0.00 :   5372d6: xor     s1,s1,t2
    0.00 :   5372da: add     t1,t1,s1
    0.00 :   5372dc: add     a0,a0,t0
    0.00 :   5372de: add     a4,t0,t1
    0.00 :   5372e2: lwu     t0,8(s3)
    0.00 :   5372e6: lwu     t1,20(s3)
    0.00 :   5372ea: lwu     s1,52(s3)
    0.00 :   5372ee: lwu     s5,16(s3)
    0.00 :   5372f2: srliw   t6,t0,0x11
    0.00 :   5372f6: slliw   t2,t0,0xf
    0.00 :   5372fa: or      t2,t6,t2
    0.00 :   5372fe: srliw   t6,t0,0x13
    0.00 :   537302: slliw   s0,t0,0xd
    0.00 :   537306: or      s0,t6,s0
    0.00 :   53730a: srli    t0,t0,0xa
    0.00 :   53730e: xor     t0,t0,t2
    0.00 :   537312: xor     t0,t0,s0
    0.00 :   537316: add     t0,t0,s1
    0.00 :   537318: srliw   t6,t1,0x7
    0.00 :   53731c: slliw   t2,t1,0x19
    0.00 :   537320: or      t2,t6,t2
    0.00 :   537324: srliw   t6,t1,0x12
    0.00 :   537328: slliw   s0,t1,0xe
    0.00 :   53732c: or      s0,t6,s0
    0.00 :   537330: srli    t1,t1,0x3
    0.00 :   537334: xor     t1,t1,t2
    0.00 :   537338: xor     t1,t1,s0
    0.00 :   53733c: add     t0,t0,t1
    0.00 :   53733e: add     t0,t0,s5
    0.00 :   537340: sw      t0,16(s3)
    0.00 :   537344: lwu     s0,80(s2)
    0.00 :   537348: add     a3,a3,t0
    0.00 :   53734a: srliw   t6,a0,0x6
    0.00 :   53734e: slliw   t1,a0,0x1a
    0.00 :   537352: or      t1,t6,t1
    0.00 :   537356: add     a3,a3,s0
    0.00 :   537358: srliw   t6,a0,0xb
    0.00 :   53735c: slliw   t2,a0,0x15
    0.00 :   537360: or      t2,t6,t2
    0.00 :   537364: srliw   t6,a0,0x19
    0.00 :   537368: slliw   s0,a0,0x7
    0.00 :   53736c: or      s0,t6,s0
    0.00 :   537370: xor     t1,t1,t2
    0.00 :   537374: xor     t0,a2,a1
    0.00 :   537378: xor     t1,t1,s0
    0.00 :   53737c: and     t0,t0,a0
    0.00 :   537380: add     a3,a3,t1
    0.00 :   537382: xor     t0,t0,a2
    0.00 :   537386: add     t0,t0,a3
    0.00 :   537388: srliw   t6,a4,0x2
    0.00 :   53738c: slliw   t1,a4,0x1e
    0.00 :   537390: or      t1,t6,t1
    0.00 :   537394: srliw   t6,a4,0xd
    0.00 :   537398: slliw   t2,a4,0x13
    0.00 :   53739c: or      t2,t6,t2
    0.00 :   5373a0: srliw   t6,a4,0x16
    0.00 :   5373a4: slliw   s0,a4,0xa
    0.00 :   5373a8: or      s0,t6,s0
    0.00 :   5373ac: xor     t1,t1,t2
    0.00 :   5373b0: xor     s1,a6,a5
    0.00 :   5373b4: and     t2,a6,a5
    0.00 :   5373b8: and     s1,s1,a4
    0.00 :   5373ba: xor     t1,t1,s0
    0.00 :   5373be: xor     s1,s1,t2
    0.00 :   5373c2: add     t1,t1,s1
    0.00 :   5373c4: add     a7,a7,t0
    0.00 :   5373c6: add     a3,t0,t1
    0.00 :   5373ca: lwu     t0,12(s3)
    0.00 :   5373ce: lwu     t1,24(s3)
    0.00 :   5373d2: lwu     s1,56(s3)
    0.00 :   5373d6: lwu     s5,20(s3)
    0.00 :   5373da: srliw   t6,t0,0x11
    0.00 :   5373de: slliw   t2,t0,0xf
    0.00 :   5373e2: or      t2,t6,t2
    0.00 :   5373e6: srliw   t6,t0,0x13
    0.00 :   5373ea: slliw   s0,t0,0xd
    0.00 :   5373ee: or      s0,t6,s0
    0.00 :   5373f2: srli    t0,t0,0xa
    0.00 :   5373f6: xor     t0,t0,t2
    0.00 :   5373fa: xor     t0,t0,s0
    0.00 :   5373fe: add     t0,t0,s1
    0.00 :   537400: srliw   t6,t1,0x7
    0.00 :   537404: slliw   t2,t1,0x19
    0.00 :   537408: or      t2,t6,t2
    0.00 :   53740c: srliw   t6,t1,0x12
    0.00 :   537410: slliw   s0,t1,0xe
    0.00 :   537414: or      s0,t6,s0
    0.00 :   537418: srli    t1,t1,0x3
    0.00 :   53741c: xor     t1,t1,t2
    0.00 :   537420: xor     t1,t1,s0
    0.00 :   537424: add     t0,t0,t1
    0.00 :   537426: add     t0,t0,s5
    0.00 :   537428: sw      t0,20(s3)
    0.00 :   53742c: lwu     s0,84(s2)
    0.00 :   537430: add     a2,a2,t0
    0.00 :   537432: srliw   t6,a7,0x6
    0.00 :   537436: slliw   t1,a7,0x1a
    0.00 :   53743a: or      t1,t6,t1
    0.00 :   53743e: add     a2,a2,s0
    0.00 :   537440: srliw   t6,a7,0xb
    0.00 :   537444: slliw   t2,a7,0x15
    0.00 :   537448: or      t2,t6,t2
    0.00 :   53744c: srliw   t6,a7,0x19
    0.00 :   537450: slliw   s0,a7,0x7
    0.00 :   537454: or      s0,t6,s0
    0.00 :   537458: xor     t1,t1,t2
    0.00 :   53745c: xor     t0,a1,a0
    0.00 :   537460: xor     t1,t1,s0
    0.00 :   537464: and     t0,t0,a7
    0.00 :   537468: add     a2,a2,t1
    0.00 :   53746a: xor     t0,t0,a1
    0.00 :   53746e: add     t0,t0,a2
    0.00 :   537470: srliw   t6,a3,0x2
    0.00 :   537474: slliw   t1,a3,0x1e
    0.00 :   537478: or      t1,t6,t1
    0.00 :   53747c: srliw   t6,a3,0xd
    0.00 :   537480: slliw   t2,a3,0x13
    0.00 :   537484: or      t2,t6,t2
    0.00 :   537488: srliw   t6,a3,0x16
    0.00 :   53748c: slliw   s0,a3,0xa
    0.00 :   537490: or      s0,t6,s0
    0.00 :   537494: xor     t1,t1,t2
    0.00 :   537498: xor     s1,a5,a4
    0.00 :   53749c: and     t2,a5,a4
    0.00 :   5374a0: and     s1,s1,a3
